columnName,columnValue,valueCount
AccountCode,,1
AccountCodeShort,,1
AccountName,,1
AcctType,,1
AssetClass,,1
Base_Currency_Code,,1
Client_Name,,1
Cost,,1
Cost_(CAD),,1
Country,,1
CUSIP,,1
Instrument_Currency,,1
Instrument_Description,,1
Locked,,1
Market_Value,,1
MV(CAD),,1
MV_Base,,1
OptionExpiration,,1
OptionStrike,,1
OptionSymbol,,1
OptionType,,1
Price_(Security),,1
Quantity,,1
Sector,,1
Security_No.,,1
Symbol,,1
TacClassification,,1
valdate,,1
